id,recomendaciones
12150,"['Desperados: Wanted Dead or Alive', 'Revenge Quest', 'Western FPS', 'REVENGE: First Blood', ""PAYDAY 2: The Butcher's Western Pack""]"
7000,"['Death to Spies: Moment of Truth', 'RAID: World War II', 'World of Guns:World War II Pack', 'Sniper Elite', 'Enemy Front']"
12140,"['Act of War: Direct Action', 'Act 3 Soundtrack', 'Act 2 Soundtrack', 'Magic 2013 ""Act of War"" Deck Key', 'Magic 2013 ""Act of War"" Foil Conversion']"
17480,"['RollerCoaster Tycoon®: Deluxe', 'SimCity™ 4 Deluxe Edition', 'Railroad Tycoon 3', 'Cities: Skylines', 'RollerCoaster Tycoon® 2: Triple Thrill Pack']"
12500,"['Act of War: High Treason', 'Act 3 Soundtrack', 'Act 2 Soundtrack', 'Direct Hit: Missile War', 'Direct']"
12310,"['Unreal Gold', 'Deathmatch Classic', 'Unreal Tournament: Game of the Year Edition', 'Unreal Tournament 3 Black', ""Unreal Tournament 2004: Editor's Choice Edition""]"
12510,"['Unreal Tournament: Game of the Year Edition', 'QUAKE', 'QUAKE II', 'Unreal 2: The Awakening', 'Unreal Tournament 3 Black']"
12530,"['Ninja Stealth 2', 'Ninja Guy', 'Salmon Ninja', 'Mark of the Ninja: Special Edition DLC', 'Ninja Stealth - Supporter Edition']"
12520,"[""Tom Clancy's Splinter Cell Chaos Theory®"", 'Tom Clancy’s Splinter Cell Blacklist', ""Tom Clancy's Splinter Cell Double Agent®"", ""Tom Clancy's Rainbow Six® Vegas 2"", 'Tom Clancy’s The Division™']"
8100,"[""Far Cry® 2: Fortune's Edition"", 'Far Cry® 4', 'Far Cry 3', 'Far Cry® Primal', 'Far Cry® 4 Season Pass']"
2780,"['Unreal Tournament 3 Black', ""Unreal Tournament 2004: Editor's Choice Edition"", 'QUAKE II', 'Unreal Gold', 'Quake III Arena']"
9730,"[""Tom Clancy's Rainbow Six® Vegas 2"", ""Tom Clancy's Rainbow Six® 3 Gold"", ""Tom Clancy's Rainbow Six® Siege"", ""Tom Clancy's Rainbow Six Lockdown™"", ""Tom Clancy's Ghost Recon®""]"
9710,"['Silent Hunter 5®: Battle of the Atlantic', 'Silent Hunter®: Wolves of the Pacific', 'Battlestations Pacific', 'Naval Action', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
9800,"['Virtual Villagers: The Lost Children', 'Virtual Villagers: A New Home', 'Villagers', 'Virtual-O', 'Rocksmith® 2014 – Villagers - “Becoming a Jackal”']"
9760,"['The Hidden Dragon', 'Hidden Object Bundle 5 in 1', 'Mystery of Neuschwanstein', 'The Ultimate Heist', 'Hidden Object Bundle 4 in 1']"
2700,"['Luxor 2 HD', 'Luxor HD', 'Luxor 2', 'Luxor 3', 'Luxor Evolved']"
2710,"['Pinball Arcade', 'Arcade Moonlander', 'Dodge', 'Hard Truck Apocalypse: Arcade / Ex Machina: Arcade', 'Arcade Tale']"
13200,"['Farm Frenzy 3', 'Farm Frenzy 2', 'Farm Frenzy', 'Farm Frenzy 4', 'Farm Frenzy: Pizza Party']"
13250,"['7 Wonders of the Ancient World', '7 Wonders: Treasures of Seven', '7 Wonders: Magical Mystery Tour', '7 Wonders: Ancient Alien Makeover', 'Season Match 2']"
13000,"['Luxor: Amun Rising HD', 'Luxor 2', 'Luxor 3', 'Luxor', 'Luxor 2 HD']"
13560,"['Luxor 2', 'Luxor', 'Luxor 2 HD', 'Luxor HD', 'Luxor Evolved']"
13520,"['My Riding Stables: Life with Horses', 'Wildlife Park 2 - Horses', 'Clock Simulator', 'Secret of the Magic Crystals - Dress Up', 'Ostwind/Windstorm']"
13240,"['Luxor 3', 'Luxor', 'Luxor 2 HD', 'Luxor HD', 'Luxor Evolved']"
13540,"['Father´s Island', 'BattleStick', 'Cat Simulator', 'Rayman® Origins', 'Rayman® Legends']"
15210,"['Silent Hunter®: Wolves of the Pacific U-Boat Missions', 'Silent Hunter® III', 'Silent Hunter 5®: Battle of the Atlantic', 'Battlestations Pacific', 'Pacific Storm Allies']"
16180,"['IL-2 Sturmovik: Cliffs of Dover', 'IL-2 Sturmovik: Cliffs of Dover Blitz Edition', 'IL-2 Sturmovik: Battle of Moscow', 'Wings of Prey', 'IL-2 Sturmovik: P-40E-1 Collector Plane']"
3520,"['Silent Hunter®: Wolves of the Pacific', 'Silent Hunter® III', 'Silent Hunter 5®: Battle of the Atlantic', 'Pacific Storm Allies', 'Pacific Storm']"
15970,"['Bone: The Great Cow Race', 'Watch_Dogs® 2 - T-Bone Pack', 'Dark Fall 2: Lights Out', ""It's time to get out from the solar system"", 'Episode 10 - The Singing Bone']"
15950,"['Midnight', '24 HOURS', 'Midnight Club 2', 'Near Midnight', 'Marvel vs. Capcom: Infinite - Ghost Rider Outlaw Costume']"
15960,"['Watch_Dogs® 2 - T-Bone Pack', 'Bone: Out From Boneville', 'Episode 10 - The Singing Bone', 'Race', 'The Great Fusion']"
15900,"['Skeleton Sprint', 'GRID Autosport - Sprint Pack', 'Cars War', '4 Cars Pack', 'Burning Cars']"
15910,"['Game Tycoon 2', 'Game Tycoon 1.5', 'Fish Tycoon', '$1 Ride', 'Hospital Tycoon']"
15930,"['The Under', 'Puzzles Under The Hill', 'Under Zero', 'Deep Under the Sky', 'Sharpe Investigations: Death on the Seine']"
15160,"['Dracula: The Resurrection', ""Dracula's Legacy"", 'Dracula 3: The Path of the Dragon', 'Dracula 2: The Last Sanctuary', 'Dracula: Love Kills']"
15920,"['Vancouver 2010™ - The Official Video Game of the Olympic Winter Games', 'THE GAME OF LIFE - The Official 2016 Edition', 'Hoyle Official Card Games', 'WarFire Original Video Games Soundtrack', 'Kult of Ktulu: Olympic']"
15080,"['Sherlock Holmes: The Mystery of the Mummy', 'Sherlock Holmes: The Silver Earring', 'Sherlock Holmes versus Jack the Ripper', 'The Testament of Sherlock Holmes', 'Sherlock Holmes: The Awakened - Remastered Edition']"
15200,"['Wind Child', 'Prophecy I - The Viking Child', 'Drift Into Eternity Demo', 'Flight to Eternity', 'Drift Into Eternity']"
15320,"['Pacific Storm', 'Storm over the Pacific', 'Battlestations Pacific', 'Silent Hunter®: Wolves of the Pacific', '1942: The Pacific Air War']"
15240,"['Tank Universal 2', 'Tank Assault X', 'Tank Blast', 'Tank Force', 'Tank Brawl']"
8310,"['FlatOut', 'FlatOut 2™', 'FlatOut 4: Total Insanity', 'Flatout 3: Chaos & Destruction', 'Ford Racing 3']"
